Data,QT_INTER
05/12/2020,38.5
06/12/2020,48.3
07/12/2020,36.8
08/12/2020,38.9
09/12/2020,35.1
10/12/2020,35.6
11/12/2020,33.6
12/12/2020,39.4
13/12/2020,47.5
14/12/2020,35.7
15/12/2020,35.5
16/12/2020,34.5
17/12/2020,35
18/12/2020,33.9
19/12/2020,38.3
20/12/2020,46.3
21/12/2020,35.2
22/12/2020,34.7
23/12/2020,34.3
24/12/2020,36
25/12/2020,48.8
26/12/2020,46.1
27/12/2020,51.2
28/12/2020,38.1
29/12/2020,37.2
30/12/2020,35.9
31/12/2020,37.1
01/01/2021,50
02/01/2021,47.6
03/01/2021,51.9
04/01/2021,37.5
05/01/2021,37.5
06/01/2021,37.1
07/01/2021,37.1
08/01/2021,35.3
09/01/2021,40.8
10/01/2021,49.3
11/01/2021,36.4
12/01/2021,36.7
13/01/2021,36.4
14/01/2021,36.1
15/01/2021,35.6
16/01/2021,41.8
17/01/2021,48.8
18/01/2021,36.4
19/01/2021,36.8
20/01/2021,36.4
21/01/2021,35.9
22/01/2021,35.5
23/01/2021,41.2
24/01/2021,48.5
25/01/2021,36.8
26/01/2021,36.2
27/01/2021,35.8
28/01/2021,36.1
29/01/2021,35.3
